distCity,distState,street_address,city,state,shipment_week,Product,count
Avila Beach,CA,5075 GOSFORD RD,BAKERSFIELD,CA,2,Product c,180
Avila Beach,CA,5075 GOSFORD RD,BAKERSFIELD,CA,2,Product D,240
Avila Beach,CA,5075 GOSFORD RD,BAKERSFIELD,CA,2,Product E,360
Avila Beach,CA,5075 GOSFORD RD,BAKERSFIELD,CA,3,Product A,20
Avila Beach,CA,5075 GOSFORD RD,BAKERSFIELD,CA,3,Product B,500
Avila Beach,CA,5075 GOSFORD RD,BAKERSFIELD,CA,3,Product c,420
Avila Beach,CA,5075 GOSFORD RD,BAKERSFIELD,CA,3,Product D,240
Avila Beach,CA,5075 GOSFORD RD,BAKERSFIELD,CA,3,Product E,500
Avila Beach,CA,5075 GOSFORD RD,BAKERSFIELD,CA,4,Product A,480
Avila Beach,CA,5075 GOSFORD RD,BAKERSFIELD,CA,4,Product B,280
Avila Beach,CA,5075 GOSFORD RD,BAKERSFIELD,CA,4,Product c,100
Avila Beach,CA,5075 GOSFORD RD,BAKERSFIELD,CA,4,Product D,100
Avila Beach,CA,5075 GOSFORD RD,BAKERSFIELD,CA,4,Product E,100
Avila Beach,CA,530 WOOLLOMES AVE,DELANO,CA,1,Product A,180
Avila Beach,CA,530 WOOLLOMES AVE,DELANO,CA,1,Product B,340
Avila Beach,CA,530 WOOLLOMES AVE,DELANO,CA,1,Product c,20
Avila Beach,CA,530 WOOLLOMES AVE,DELANO,CA,1,Product D,360
Avila Beach,CA,530 WOOLLOMES AVE,DELANO,CA,1,Product E,160
Avila Beach,CA,530 WOOLLOMES AVE,DELANO,CA,2,Product A,340
Avila Beach,CA,530 WOOLLOMES AVE,DELANO,CA,2,Product B,420
Avila Beach,CA,530 WOOLLOMES AVE,DELANO,CA,2,Product c,480
Avila Beach,CA,530 WOOLLOMES AVE,DELANO,CA,2,Product D,160
Avila Beach,CA,530 WOOLLOMES AVE,DELANO,CA,2,Product E,420
Avila Beach,CA,530 WOOLLOMES AVE,DELANO,CA,3,Product A,60
Avila Beach,CA,530 WOOLLOMES AVE,DELANO,CA,3,Product B,240
Avila Beach,CA,530 WOOLLOMES AVE,DELANO,CA,3,Product c,220
Avila Beach,CA,530 WOOLLOMES AVE,DELANO,CA,3,Product D,160
Avila Beach,CA,530 WOOLLOMES AVE,DELANO,CA,3,Product E,80
Avila Beach,CA,530 WOOLLOMES AVE,DELANO,CA,4,Product A,220
Avila Beach,CA,530 WOOLLOMES AVE,DELANO,CA,4,Product B,460
Avila Beach,CA,530 WOOLLOMES AVE,DELANO,CA,4,Product c,220
Avila Beach,CA,530 WOOLLOMES AVE,DELANO,CA,4,Product D,380
Avila Beach,CA,530 WOOLLOMES AVE,DELANO,CA,4,Product E,460
Avila Beach,CA,701 W CENTRAL AVE,LOMPOC,CA,1,Product A,380
Avila Beach,CA,701 W CENTRAL AVE,LOMPOC,CA,1,Product B,400
Avila Beach,CA,701 W CENTRAL AVE,LOMPOC,CA,1,Product c,20
Avila Beach,CA,701 W CENTRAL AVE,LOMPOC,CA,1,Product D,40
Avila Beach,CA,701 W CENTRAL AVE,LOMPOC,CA,1,Product E,160
Avila Beach,CA,701 W CENTRAL AVE,LOMPOC,CA,2,Product A,40
Avila Beach,CA,701 W CENTRAL AVE,LOMPOC,CA,2,Product B,40
Avila Beach,CA,701 W CENTRAL AVE,LOMPOC,CA,2,Product c,360
Avila Beach,CA,701 W CENTRAL AVE,LOMPOC,CA,2,Product D,380
Avila Beach,CA,701 W CENTRAL AVE,LOMPOC,CA,2,Product E,60
Avila Beach,CA,701 W CENTRAL AVE,LOMPOC,CA,3,Product A,440
Avila Beach,CA,701 W CENTRAL AVE,LOMPOC,CA,3,Product B,280
Avila Beach,CA,701 W CENTRAL AVE,LOMPOC,CA,3,Product c,400
Avila Beach,CA,701 W CENTRAL AVE,LOMPOC,CA,3,Product D,120
Avila Beach,CA,701 W CENTRAL AVE,LOMPOC,CA,3,Product E,460
Avila Beach,CA,701 W CENTRAL AVE,LOMPOC,CA,4,Product A,100
Avila Beach,CA,701 W CENTRAL AVE,LOMPOC,CA,4,Product B,320
Avila Beach,CA,701 W CENTRAL AVE,LOMPOC,CA,4,Product c,280
Avila Beach,CA,701 W CENTRAL AVE,LOMPOC,CA,4,Product D,20
Avila Beach,CA,701 W CENTRAL AVE,LOMPOC,CA,4,Product E,200
Avila Beach,CA,8400 ROSEDALE HWY,BAKERSFIELD,CA,1,Product A,320
Avila Beach,CA,8400 ROSEDALE HWY,BAKERSFIELD,CA,1,Product B,360
Avila Beach,CA,8400 ROSEDALE HWY,BAKERSFIELD,CA,1,Product c,260
Avila Beach,CA,8400 ROSEDALE HWY,BAKERSFIELD,CA,1,Product D,320
Avila Beach,CA,8400 ROSEDALE HWY,BAKERSFIELD,CA,1,Product E,440
Avila Beach,CA,8400 ROSEDALE HWY,BAKERSFIELD,CA,2,Product A,160
Avila Beach,CA,8400 ROSEDALE HWY,BAKERSFIELD,CA,2,Product B,240
Avila Beach,CA,8400 ROSEDALE HWY,BAKERSFIELD,CA,2,Product c,120
Avila Beach,CA,8400 ROSEDALE HWY,BAKERSFIELD,CA,2,Product D,280
Avila Beach,CA,8400 ROSEDALE HWY,BAKERSFIELD,CA,2,Product E,300
Avila Beach,CA,8400 ROSEDALE HWY,BAKERSFIELD,CA,3,Product A,200
Avila Beach,CA,8400 ROSEDALE HWY,BAKERSFIELD,CA,3,Product B,240
Avila Beach,CA,8400 ROSEDALE HWY,BAKERSFIELD,CA,3,Product c,80
Avila Beach,CA,8400 ROSEDALE HWY,BAKERSFIELD,CA,3,Product D,500
Avila Beach,CA,8400 ROSEDALE HWY,BAKERSFIELD,CA,3,Product E,40
Avila Beach,CA,8400 ROSEDALE HWY,BAKERSFIELD,CA,4,Product A,480
Avila Beach,CA,8400 ROSEDALE HWY,BAKERSFIELD,CA,4,Product B,340
Avila Beach,CA,8400 ROSEDALE HWY,BAKERSFIELD,CA,4,Product c,380
Avila Beach,CA,8400 ROSEDALE HWY,BAKERSFIELD,CA,4,Product D,240
Avila Beach,CA,8400 ROSEDALE HWY,BAKERSFIELD,CA,4,Product E,440
Bexley,OH,1693 STRINGTOWN RD,GROVE CITY,OH,1,Product A,360
Bexley,OH,1693 STRINGTOWN RD,GROVE CITY,OH,1,Product B,240
Bexley,OH,1693 STRINGTOWN RD,GROVE CITY,OH,1,Product c,80
Bexley,OH,1693 STRINGTOWN RD,GROVE CITY,OH,1,Product D,320
Bexley,OH,1693 STRINGTOWN RD,GROVE CITY,OH,1,Product E,300
Bexley,OH,1693 STRINGTOWN RD,GROVE CITY,OH,2,Product A,280
Bexley,OH,1693 STRINGTOWN RD,GROVE CITY,OH,2,Product B,160
Bexley,OH,1693 STRINGTOWN RD,GROVE CITY,OH,2,Product c,400
Bexley,OH,1693 STRINGTOWN RD,GROVE CITY,OH,2,Product D,120
Bexley,OH,1693 STRINGTOWN RD,GROVE CITY,OH,2,Product E,320
Bexley,OH,1693 STRINGTOWN RD,GROVE CITY,OH,3,Product A,440
Bexley,OH,1693 STRINGTOWN RD,GROVE CITY,OH,3,Product B,360
Bexley,OH,1693 STRINGTOWN RD,GROVE CITY,OH,3,Product c,420
Bexley,OH,1693 STRINGTOWN RD,GROVE CITY,OH,3,Product D,140
Bexley,OH,1693 STRINGTOWN RD,GROVE CITY,OH,3,Product E,180
Bexley,OH,1693 STRINGTOWN RD,GROVE CITY,OH,4,Product A,220
Bexley,OH,1693 STRINGTOWN RD,GROVE CITY,OH,4,Product B,180
Bexley,OH,1693 STRINGTOWN RD,GROVE CITY,OH,4,Product c,200
Bexley,OH,1693 STRINGTOWN RD,GROVE CITY,OH,4,Product D,180
Bexley,OH,1693 STRINGTOWN RD,GROVE CITY,OH,4,Product E,220
Bexley,OH,2793 TAYLOR ROAD EXT,REYNOLDSBURG,OH,1,Product A,400
Bexley,OH,2793 TAYLOR ROAD EXT,REYNOLDSBURG,OH,1,Product B,220
Bexley,OH,2793 TAYLOR ROAD EXT,REYNOLDSBURG,OH,1,Product c,100
Bexley,OH,2793 TAYLOR ROAD EXT,REYNOLDSBURG,OH,1,Product D,80
Bexley,OH,2793 TAYLOR ROAD EXT,REYNOLDSBURG,OH,1,Product E,160
Bexley,OH,2793 TAYLOR ROAD EXT,REYNOLDSBURG,OH,2,Product A,220
Bexley,OH,2793 TAYLOR ROAD EXT,REYNOLDSBURG,OH,2,Product B,420
Bexley,OH,2793 TAYLOR ROAD EXT,REYNOLDSBURG,OH,2,Product c,200
Bexley,OH,2793 TAYLOR ROAD EXT,REYNOLDSBURG,OH,2,Product D,420
Bexley,OH,2793 TAYLOR ROAD EXT,REYNOLDSBURG,OH,2,Product E,480
Bexley,OH,2793 TAYLOR ROAD EXT,REYNOLDSBURG,OH,3,Product A,460
Bexley,OH,2793 TAYLOR ROAD EXT,REYNOLDSBURG,OH,3,Product B,320
Bexley,OH,2793 TAYLOR ROAD EXT,REYNOLDSBURG,OH,3,Product c,480
Bexley,OH,2793 TAYLOR ROAD EXT,REYNOLDSBURG,OH,3,Product D,460
Bexley,OH,2793 TAYLOR ROAD EXT,REYNOLDSBURG,OH,3,Product E,500
Bexley,OH,2793 TAYLOR ROAD EXT,REYNOLDSBURG,OH,4,Product A,260
Bexley,OH,2793 TAYLOR ROAD EXT,REYNOLDSBURG,OH,4,Product B,280
Bexley,OH,2793 TAYLOR ROAD EXT,REYNOLDSBURG,OH,4,Product c,260
Bexley,OH,2793 TAYLOR ROAD EXT,REYNOLDSBURG,OH,4,Product D,400
Bexley,OH,2793 TAYLOR ROAD EXT,REYNOLDSBURG,OH,4,Product E,260
Bexley,OH,3657 E MAIN ST,WHITEHALL,OH,1,Product A,140
Bexley,OH,3657 E MAIN ST,WHITEHALL,OH,1,Product B,500
Bexley,OH,3657 E MAIN ST,WHITEHALL,OH,1,Product c,160
Bexley,OH,3657 E MAIN ST,WHITEHALL,OH,1,Product D,400
Bexley,OH,3657 E MAIN ST,WHITEHALL,OH,1,Product E,380
Bexley,OH,3657 E MAIN ST,WHITEHALL,OH,2,Product A,380
Bexley,OH,3657 E MAIN ST,WHITEHALL,OH,2,Product B,320
Bexley,OH,3657 E MAIN ST,WHITEHALL,OH,2,Product c,160
Bexley,OH,3657 E MAIN ST,WHITEHALL,OH,2,Product D,400
Bexley,OH,3657 E MAIN ST,WHITEHALL,OH,2,Product E,460
Bexley,OH,3657 E MAIN ST,WHITEHALL,OH,3,Product A,20
Bexley,OH,3657 E MAIN ST,WHITEHALL,OH,3,Product B,220
Bexley,OH,3657 E MAIN ST,WHITEHALL,OH,3,Product c,400
Bexley,OH,3657 E MAIN ST,WHITEHALL,OH,3,Product D,140
Bexley,OH,3657 E MAIN ST,WHITEHALL,OH,3,Product E,480
Bexley,OH,3657 E MAIN ST,WHITEHALL,OH,4,Product A,460
Bexley,OH,3657 E MAIN ST,WHITEHALL,OH,4,Product B,140
Bexley,OH,3657 E MAIN ST,WHITEHALL,OH,4,Product c,160
Bexley,OH,3657 E MAIN ST,WHITEHALL,OH,4,Product D,420
Bexley,OH,3657 E MAIN ST,WHITEHALL,OH,4,Product E,100
Bexley,OH,3900 MORSE RD,COLUMBUS,OH,1,Product A,320
Bexley,OH,3900 MORSE RD,COLUMBUS,OH,1,Product B,440
Bexley,OH,3900 MORSE RD,COLUMBUS,OH,1,Product c,500
Bexley,OH,3900 MORSE RD,COLUMBUS,OH,1,Product D,180
Bexley,OH,3900 MORSE RD,COLUMBUS,OH,1,Product E,320
Bexley,OH,3900 MORSE RD,COLUMBUS,OH,2,Product A,460
Bexley,OH,3900 MORSE RD,COLUMBUS,OH,2,Product B,160
Bexley,OH,3900 MORSE RD,COLUMBUS,OH,2,Product c,180
Bexley,OH,3900 MORSE RD,COLUMBUS,OH,2,Product D,240
Bexley,OH,3900 MORSE RD,COLUMBUS,OH,2,Product E,160
Bexley,OH,3900 MORSE RD,COLUMBUS,OH,3,Product A,380
Bexley,OH,3900 MORSE RD,COLUMBUS,OH,3,Product B,80
Bexley,OH,3900 MORSE RD,COLUMBUS,OH,3,Product c,280
Bexley,OH,3900 MORSE RD,COLUMBUS,OH,3,Product D,80
Bexley,OH,3900 MORSE RD,COLUMBUS,OH,3,Product E,200
Bexley,OH,3900 MORSE RD,COLUMBUS,OH,4,Product A,260
Bexley,OH,3900 MORSE RD,COLUMBUS,OH,4,Product B,440
Bexley,OH,3900 MORSE RD,COLUMBUS,OH,4,Product c,80
Bexley,OH,3900 MORSE RD,COLUMBUS,OH,4,Product D,340
Bexley,OH,3900 MORSE RD,COLUMBUS,OH,4,Product E,320
Bexley,OH,6674 WINCHESTER BLVD,CANAL WINCHESTER,OH,1,Product A,280
Bexley,OH,6674 WINCHESTER BLVD,CANAL WINCHESTER,OH,1,Product B,420
Bexley,OH,6674 WINCHESTER BLVD,CANAL WINCHESTER,OH,1,Product c,260
Bexley,OH,6674 WINCHESTER BLVD,CANAL WINCHESTER,OH,1,Product D,80
Bexley,OH,6674 WINCHESTER BLVD,CANAL WINCHESTER,OH,1,Product E,280
Bexley,OH,6674 WINCHESTER BLVD,CANAL WINCHESTER,OH,2,Product A,400
Bexley,OH,6674 WINCHESTER BLVD,CANAL WINCHESTER,OH,2,Product B,180
Bexley,OH,6674 WINCHESTER BLVD,CANAL WINCHESTER,OH,2,Product c,20
Bexley,OH,6674 WINCHESTER BLVD,CANAL WINCHESTER,OH,2,Product D,280
Bexley,OH,6674 WINCHESTER BLVD,CANAL WINCHESTER,OH,2,Product E,240
Bexley,OH,6674 WINCHESTER BLVD,CANAL WINCHESTER,OH,3,Product A,300
Bexley,OH,6674 WINCHESTER BLVD,CANAL WINCHESTER,OH,3,Product B,220
Bexley,OH,6674 WINCHESTER BLVD,CANAL WINCHESTER,OH,3,Product c,160
Bexley,OH,6674 WINCHESTER BLVD,CANAL WINCHESTER,OH,3,Product D,380
Bexley,OH,6674 WINCHESTER BLVD,CANAL WINCHESTER,OH,3,Product E,40
Bexley,OH,6674 WINCHESTER BLVD,CANAL WINCHESTER,OH,4,Product A,440
Bexley,OH,6674 WINCHESTER BLVD,CANAL WINCHESTER,OH,4,Product B,460
Bexley,OH,6674 WINCHESTER BLVD,CANAL WINCHESTER,OH,4,Product c,60
Bexley,OH,6674 WINCHESTER BLVD,CANAL WINCHESTER,OH,4,Product D,60
Bexley,OH,6674 WINCHESTER BLVD,CANAL WINCHESTER,OH,4,Product E,340
Bird-in-Hand,PA,100 COMMONS DR,PARKESBURG,PA,1,Product A,480
Bird-in-Hand,PA,100 COMMONS DR,PARKESBURG,PA,1,Product B,460
Bird-in-Hand,PA,100 COMMONS DR,PARKESBURG,PA,1,Product c,420
Bird-in-Hand,PA,100 COMMONS DR,PARKESBURG,PA,1,Product D,380
Bird-in-Hand,PA,100 COMMONS DR,PARKESBURG,PA,1,Product E,360
Bird-in-Hand,PA,100 COMMONS DR,PARKESBURG,PA,2,Product A,440
Bird-in-Hand,PA,100 COMMONS DR,PARKESBURG,PA,2,Product B,120
Bird-in-Hand,PA,100 COMMONS DR,PARKESBURG,PA,2,Product c,40
Bird-in-Hand,PA,100 COMMONS DR,PARKESBURG,PA,2,Product D,80
Bird-in-Hand,PA,100 COMMONS DR,PARKESBURG,PA,2,Product E,300
Bird-in-Hand,PA,100 COMMONS DR,PARKESBURG,PA,3,Product A,360
Bird-in-Hand,PA,100 COMMONS DR,PARKESBURG,PA,3,Product B,440
Bird-in-Hand,PA,100 COMMONS DR,PARKESBURG,PA,3,Product c,100
Bird-in-Hand,PA,100 COMMONS DR,PARKESBURG,PA,3,Product D,380
Bird-in-Hand,PA,100 COMMONS DR,PARKESBURG,PA,3,Product E,140
Bird-in-Hand,PA,100 COMMONS DR,PARKESBURG,PA,4,Product A,40
Bird-in-Hand,PA,100 COMMONS DR,PARKESBURG,PA,4,Product B,220
Bird-in-Hand,PA,100 COMMONS DR,PARKESBURG,PA,4,Product c,480
Bird-in-Hand,PA,100 COMMONS DR,PARKESBURG,PA,4,Product D,20
Bird-in-Hand,PA,100 COMMONS DR,PARKESBURG,PA,4,Product E,40
Bird-in-Hand,PA,100 CROSSINGS BLVD,ELVERSON,PA,1,Product A,240
Bird-in-Hand,PA,100 CROSSINGS BLVD,ELVERSON,PA,1,Product B,280
Bird-in-Hand,PA,100 CROSSINGS BLVD,ELVERSON,PA,1,Product c,100
Bird-in-Hand,PA,100 CROSSINGS BLVD,ELVERSON,PA,1,Product D,20
Bird-in-Hand,PA,100 CROSSINGS BLVD,ELVERSON,PA,1,Product E,400
Bird-in-Hand,PA,100 CROSSINGS BLVD,ELVERSON,PA,2,Product A,260
Bird-in-Hand,PA,100 CROSSINGS BLVD,ELVERSON,PA,2,Product B,160
Bird-in-Hand,PA,100 CROSSINGS BLVD,ELVERSON,PA,2,Product c,480
Bird-in-Hand,PA,100 CROSSINGS BLVD,ELVERSON,PA,2,Product D,160
Bird-in-Hand,PA,100 CROSSINGS BLVD,ELVERSON,PA,2,Product E,360
Bird-in-Hand,PA,100 CROSSINGS BLVD,ELVERSON,PA,3,Product A,500
Bird-in-Hand,PA,100 CROSSINGS BLVD,ELVERSON,PA,3,Product B,260
Bird-in-Hand,PA,100 CROSSINGS BLVD,ELVERSON,PA,3,Product c,120
Bird-in-Hand,PA,100 CROSSINGS BLVD,ELVERSON,PA,3,Product D,300
Bird-in-Hand,PA,100 CROSSINGS BLVD,ELVERSON,PA,3,Product E,280
Bird-in-Hand,PA,100 CROSSINGS BLVD,ELVERSON,PA,4,Product A,160
Bird-in-Hand,PA,100 CROSSINGS BLVD,ELVERSON,PA,4,Product B,20
Bird-in-Hand,PA,100 CROSSINGS BLVD,ELVERSON,PA,4,Product c,220
Bird-in-Hand,PA,100 CROSSINGS BLVD,ELVERSON,PA,4,Product D,480
Bird-in-Hand,PA,100 CROSSINGS BLVD,ELVERSON,PA,4,Product E,140
Bird-in-Hand,PA,2034 LINCOLN HWY E,LANCASTER,PA,1,Product A,120
Bird-in-Hand,PA,2034 LINCOLN HWY E,LANCASTER,PA,1,Product B,140
Bird-in-Hand,PA,2034 LINCOLN HWY E,LANCASTER,PA,1,Product c,20
Bird-in-Hand,PA,2034 LINCOLN HWY E,LANCASTER,PA,1,Product D,280
Bird-in-Hand,PA,2034 LINCOLN HWY E,LANCASTER,PA,1,Product E,340
Bird-in-Hand,PA,2034 LINCOLN HWY E,LANCASTER,PA,2,Product A,40
Bird-in-Hand,PA,2034 LINCOLN HWY E,LANCASTER,PA,2,Product B,480
Bird-in-Hand,PA,2034 LINCOLN HWY E,LANCASTER,PA,2,Product c,160
Bird-in-Hand,PA,2034 LINCOLN HWY E,LANCASTER,PA,2,Product D,420
Bird-in-Hand,PA,2034 LINCOLN HWY E,LANCASTER,PA,2,Product E,280
Bird-in-Hand,PA,2034 LINCOLN HWY E,LANCASTER,PA,3,Product A,40
Bird-in-Hand,PA,2034 LINCOLN HWY E,LANCASTER,PA,3,Product B,80
Bird-in-Hand,PA,2034 LINCOLN HWY E,LANCASTER,PA,3,Product c,420
Bird-in-Hand,PA,2034 LINCOLN HWY E,LANCASTER,PA,3,Product D,200
Bird-in-Hand,PA,2034 LINCOLN HWY E,LANCASTER,PA,3,Product E,140
Bird-in-Hand,PA,2034 LINCOLN HWY E,LANCASTER,PA,4,Product A,480
Bird-in-Hand,PA,2034 LINCOLN HWY E,LANCASTER,PA,4,Product B,460
Bird-in-Hand,PA,2034 LINCOLN HWY E,LANCASTER,PA,4,Product c,400
Bird-in-Hand,PA,2034 LINCOLN HWY E,LANCASTER,PA,4,Product D,120
Bird-in-Hand,PA,2034 LINCOLN HWY E,LANCASTER,PA,4,Product E,20
Bird-in-Hand,PA,800 COMMONS DR,OXFORD,PA,1,Product A,360
Bird-in-Hand,PA,800 COMMONS DR,OXFORD,PA,1,Product B,300
Bird-in-Hand,PA,800 COMMONS DR,OXFORD,PA,1,Product c,480
Bird-in-Hand,PA,800 COMMONS DR,OXFORD,PA,1,Product D,360
Bird-in-Hand,PA,800 COMMONS DR,OXFORD,PA,1,Product E,220
Bird-in-Hand,PA,800 COMMONS DR,OXFORD,PA,2,Product A,240
Bird-in-Hand,PA,800 COMMONS DR,OXFORD,PA,2,Product B,160
Bird-in-Hand,PA,800 COMMONS DR,OXFORD,PA,2,Product c,240
Bird-in-Hand,PA,800 COMMONS DR,OXFORD,PA,2,Product D,160
Bird-in-Hand,PA,800 COMMONS DR,OXFORD,PA,2,Product E,40
Bird-in-Hand,PA,800 COMMONS DR,OXFORD,PA,3,Product A,420
Bird-in-Hand,PA,800 COMMONS DR,OXFORD,PA,3,Product B,260
Bird-in-Hand,PA,800 COMMONS DR,OXFORD,PA,3,Product c,400
Bird-in-Hand,PA,800 COMMONS DR,OXFORD,PA,3,Product D,360
Bird-in-Hand,PA,800 COMMONS DR,OXFORD,PA,3,Product E,120
Bird-in-Hand,PA,800 COMMONS DR,OXFORD,PA,4,Product A,200
Bird-in-Hand,PA,800 COMMONS DR,OXFORD,PA,4,Product B,180
Bird-in-Hand,PA,800 COMMONS DR,OXFORD,PA,4,Product c,140
Bird-in-Hand,PA,800 COMMONS DR,OXFORD,PA,4,Product D,220
Bird-in-Hand,PA,800 COMMONS DR,OXFORD,PA,4,Product E,60
Bird-in-Hand,PA,890 E MAIN ST,EPHRATA,PA,1,Product A,60
Bird-in-Hand,PA,890 E MAIN ST,EPHRATA,PA,1,Product B,260
Bird-in-Hand,PA,890 E MAIN ST,EPHRATA,PA,1,Product c,220
Bird-in-Hand,PA,890 E MAIN ST,EPHRATA,PA,1,Product D,440
Bird-in-Hand,PA,890 E MAIN ST,EPHRATA,PA,1,Product E,460
Bird-in-Hand,PA,890 E MAIN ST,EPHRATA,PA,2,Product A,280
Bird-in-Hand,PA,890 E MAIN ST,EPHRATA,PA,2,Product B,120
Bird-in-Hand,PA,890 E MAIN ST,EPHRATA,PA,2,Product c,360
Bird-in-Hand,PA,890 E MAIN ST,EPHRATA,PA,2,Product D,500
Bird-in-Hand,PA,890 E MAIN ST,EPHRATA,PA,2,Product E,440
Bird-in-Hand,PA,890 E MAIN ST,EPHRATA,PA,3,Product A,120
Bird-in-Hand,PA,890 E MAIN ST,EPHRATA,PA,3,Product B,420
Bird-in-Hand,PA,890 E MAIN ST,EPHRATA,PA,3,Product c,380
Bird-in-Hand,PA,890 E MAIN ST,EPHRATA,PA,3,Product D,300
Bird-in-Hand,PA,890 E MAIN ST,EPHRATA,PA,3,Product E,340
Bird-in-Hand,PA,890 E MAIN ST,EPHRATA,PA,4,Product A,460
Bird-in-Hand,PA,890 E MAIN ST,EPHRATA,PA,4,Product B,380
Bird-in-Hand,PA,890 E MAIN ST,EPHRATA,PA,4,Product c,460
Bird-in-Hand,PA,890 E MAIN ST,EPHRATA,PA,4,Product D,200
Bird-in-Hand,PA,890 E MAIN ST,EPHRATA,PA,4,Product E,500
Boalsburg,PA,10180 US HIGHWAY 522 S,LEWISTOWN,PA,1,Product A,300
Boalsburg,PA,10180 US HIGHWAY 522 S,LEWISTOWN,PA,1,Product B,20
Boalsburg,PA,10180 US HIGHWAY 522 S,LEWISTOWN,PA,1,Product c,140
Boalsburg,PA,10180 US HIGHWAY 522 S,LEWISTOWN,PA,1,Product D,300
Boalsburg,PA,10180 US HIGHWAY 522 S,LEWISTOWN,PA,1,Product E,120
Boalsburg,PA,10180 US HIGHWAY 522 S,LEWISTOWN,PA,2,Product A,220
Boalsburg,PA,10180 US HIGHWAY 522 S,LEWISTOWN,PA,2,Product B,240
Boalsburg,PA,10180 US HIGHWAY 522 S,LEWISTOWN,PA,2,Product c,500
Boalsburg,PA,10180 US HIGHWAY 522 S,LEWISTOWN,PA,2,Product D,40
Boalsburg,PA,10180 US HIGHWAY 522 S,LEWISTOWN,PA,2,Product E,260
Boalsburg,PA,10180 US HIGHWAY 522 S,LEWISTOWN,PA,3,Product A,280
Boalsburg,PA,10180 US HIGHWAY 522 S,LEWISTOWN,PA,3,Product B,360
Boalsburg,PA,10180 US HIGHWAY 522 S,LEWISTOWN,PA,3,Product c,300
Boalsburg,PA,10180 US HIGHWAY 522 S,LEWISTOWN,PA,3,Product D,160
Boalsburg,PA,10180 US HIGHWAY 522 S,LEWISTOWN,PA,3,Product E,100
Boalsburg,PA,10180 US HIGHWAY 522 S,LEWISTOWN,PA,4,Product A,420
Boalsburg,PA,10180 US HIGHWAY 522 S,LEWISTOWN,PA,4,Product B,220
Boalsburg,PA,10180 US HIGHWAY 522 S,LEWISTOWN,PA,4,Product c,360
Boalsburg,PA,10180 US HIGHWAY 522 S,LEWISTOWN,PA,4,Product D,380
Boalsburg,PA,10180 US HIGHWAY 522 S,LEWISTOWN,PA,4,Product E,60
Boalsburg,PA,1665 N ATHERTON ST,STATE COLLEGE,PA,1,Product A,220
Boalsburg,PA,1665 N ATHERTON ST,STATE COLLEGE,PA,1,Product B,100
Boalsburg,PA,1665 N ATHERTON ST,STATE COLLEGE,PA,1,Product c,380
Boalsburg,PA,1665 N ATHERTON ST,STATE COLLEGE,PA,1,Product D,420
Boalsburg,PA,1665 N ATHERTON ST,STATE COLLEGE,PA,1,Product E,100
Boalsburg,PA,1665 N ATHERTON ST,STATE COLLEGE,PA,2,Product A,280
Boalsburg,PA,1665 N ATHERTON ST,STATE COLLEGE,PA,2,Product B,260
Boalsburg,PA,1665 N ATHERTON ST,STATE COLLEGE,PA,2,Product c,300
